year,state,age,gender,race,voter_registration
2020,Alabama,22,Male,100,1.0
2020,Alabama,79,Female,100,1.0
2020,Alabama,78,Female,802,0.0
2020,Alabama,34,Female,100,0.0
2020,Alabama,23,Female,200,0.0
2020,Alabama,80,Female,200,0.0
2020,Alabama,25,Female,100,0.0
2020,Alabama,38,Male,100,0.0
2020,Alabama,31,Female,100,0.0
2020,Alabama,18,Female,200,0.0
2020,Alabama,34,Male,200,0.0
2020,Alabama,20,Male,100,0.0
2020,Alabama,44,Female,200,1.0
2020,Alabama,26,Female,200,1.0
2020,Alabama,41,Female,100,1.0
2020,Alabama,30,Male,200,0.0
2020,Alabama,38,Female,801,0.0
2020,Alabama,50,Female,100,0.0
2020,Alabama,61,Male,100,0.0
2020,Alabama,65,Female,651,1.0
2020,Alabama,48,Male,200,1.0
2020,Alabama,46,Male,200,0.0
2020,Alabama,41,Male,200,1.0
2020,Alabama,23,Female,100,0.0
2020,Alabama,20,Male,200,0.0
2020,Alabama,27,Female,100,1.0
2020,Alabama,61,Male,200,0.0
2020,Alabama,34,Male,100,1.0
2020,Alabama,31,Female,100,1.0
2020,Alabama,54,Female,200,0.0
2020,Alabama,28,Male,200,0.0
2020,Alabama,79,Male,100,1.0
2020,Alabama,69,Female,100,0.0
2020,Alabama,40,Male,200,0.0
2020,Alabama,20,Male,200,0.0
2020,Alabama,46,Female,100,0.0
2020,Alabama,21,Female,100,0.0
2020,Alabama,52,Female,100,0.0
2020,Alabama,53,Male,100,0.0
2020,Alabama,22,Female,100,0.0
2020,Alabama,39,Male,100,1.0
2020,Alabama,33,Male,100,1.0
2020,Alabama,34,Female,100,0.0
2020,Alabama,57,Male,100,1.0
2020,Alabama,51,Male,100,0.0
2020,Alabama,22,Male,200,0.0
2020,Alabama,30,Male,200,0.0
2020,Alabama,70,Male,100,1.0
2020,Alabama,71,Female,100,1.0
2020,Alabama,18,Male,300,0.0
2020,Alabama,47,Male,200,0.0
2020,Alabama,19,Male,200,1.0
2020,Alabama,30,Female,100,0.0
2020,Alabama,30,Male,100,0.0
2020,Alabama,33,Male,100,1.0
2020,Alabama,34,Female,100,1.0
2020,Alabama,19,Female,200,0.0
2020,Alabama,50,Female,100,1.0
2020,Alabama,30,Male,100,1.0
2020,Alabama,23,Female,100,1.0
2020,Alabama,85,Male,100,1.0
2020,Alabama,71,Male,100,1.0
2020,Alabama,57,Female,100,0.0
2020,Alabama,41,Male,100,0.0
2020,Alabama,49,Female,100,1.0
2020,Alabama,79,Female,200,0.0
2020,Alabama,35,Female,100,1.0
2020,Alabama,18,Female,100,0.0
2020,Alabama,43,Female,100,1.0
2020,Alabama,42,Male,100,1.0
2020,Alabama,18,Male,100,0.0
2020,Alabama,27,Male,100,1.0
2020,Alabama,27,Female,100,0.0
